first,last,cc_num,category,category_spent,category_rewards,reward_efficiency,total_spent,total_rewards
Aaron,Murray,376028110684021,entertainment,2056.16,10280.8,5.0,38126.14,105752.87
Aaron,Murray,376028110684021,gas_transport,1263.58,5054.32,4.0,38126.14,105752.87
Aaron,Murray,376028110684021,grocery_pos,4290.75,12872.25,3.0,38126.14,105752.87
Aaron,Murray,376028110684021,misc_net,2545.19,5090.38,2.0,38126.14,105752.87
Aaron,Murray,376028110684021,misc_pos,1134.09,1134.09,1.0,38126.14,105752.87
Aaron,Murray,376028110684021,shopping_net,3363.39,10090.17,3.0,38126.14,105752.87
Aaron,Murray,376028110684021,shopping_pos,4934.5,9869.0,2.0,38126.14,105752.87
Aaron,Murray,376028110684021,travel,8560.31,51361.86,6.0,38126.14,105752.87
Aaron,Pena,4958589671582726883,entertainment,689.9,3449.5,5.0,15973.0,23181.77
Aaron,Pena,4958589671582726883,gas_transport,1968.16,7872.64,4.0,15973.0,23181.77
Aaron,Pena,4958589671582726883,grocery_pos,1700.04,5100.12,3.0,15973.0,23181.77
Aaron,Pena,4958589671582726883,misc_net,307.16,614.32,2.0,15973.0,23181.77
Aaron,Pena,4958589671582726883,misc_pos,977.5699999999999,977.5699999999999,1.0,15973.0,23181.77
Aaron,Pena,4958589671582726883,shopping_net,873.16,2619.48,3.0,15973.0,23181.77
Aaron,Pena,4958589671582726883,shopping_pos,1155.39,2310.78,2.0,15973.0,23181.77
Aaron,Pena,4958589671582726883,travel,39.56,237.36,6.0,15973.0,23181.77
Aaron,Rogers,4260059589824237,entertainment,134.34,671.7,5.0,4023.31,6086.54
Aaron,Rogers,4260059589824237,gas_transport,605.05,2420.2,4.0,4023.31,6086.54
Aaron,Rogers,4260059589824237,grocery_pos,509.62,1528.86,2.9999999999999996,4023.31,6086.54
Aaron,Rogers,4260059589824237,misc_net,189.36,378.72,2.0,4023.31,6086.54
Aaron,Rogers,4260059589824237,misc_pos,42.76,42.76,1.0,4023.31,6086.54
Aaron,Rogers,4260059589824237,shopping_net,310.96000000000004,932.88,2.9999999999999996,4023.31,6086.54
Aaron,Rogers,4260059589824237,shopping_pos,24.990000000000002,49.980000000000004,2.0,4023.31,6086.54
Aaron,Rogers,4260059589824237,travel,10.24,61.44,6.0,4023.31,6086.54
Aaron,Stewart,4228411452607671,entertainment,109.18,545.9000000000001,5.000000000000001,2475.64,3513.48
Aaron,Stewart,4228411452607671,gas_transport,416.51,1666.04,4.0,2475.64,3513.48
Aaron,Stewart,4228411452607671,grocery_pos,290.61,871.8299999999999,2.9999999999999996,2475.64,3513.48
